step,x,y,action,battery,mode
0,0,0,start,100,patrol
1,-1,0,left,99,patrol
2,-1,1,up,98,patrol
3,-1,1,stop,97,patrol
4,-1,0,down,96,patrol
5,-1,0,stop,95,patrol
6,-2,0,left,94,patrol
7,-3,0,left,93,patrol
8,-3,1,up,92,patrol
9,-3,2,up,91,patrol
10,-3,3,up,90,patrol
11,-2,3,right,89,patrol
12,-3,3,left,88,patrol
13,-3,4,up,87,patrol
14,-3,4,stop,86,patrol
15,-3,5,up,85,patrol
16,-4,5,left,84,patrol
17,-4,6,up,83,patrol
18,-4,7,up,82,patrol
19,-3,7,right,81,patrol
20,-4,7,left,80,patrol
21,-4,8,up,79,patrol
22,-4,9,up,78,patrol
23,-4,10,up,77,patrol
24,-3,10,right,76,patrol
25,-3,9,down,75,patrol
26,-3,10,up,74,patrol
27,-4,10,left,73,patrol
28,-4,9,down,72,patrol
29,-3,9,right,71,patrol
30,-2,9,right,70,patrol
31,-2,10,up,69,patrol
32,-3,10,left,68,patrol
33,-3,11,up,67,patrol
34,-2,11,right,66,patrol
35,-3,11,left,65,patrol
36,-3,10,down,64,patrol
37,-2,10,right,63,patrol
38,-2,10,stop,62,patrol
39,-2,11,up,61,patrol
40,-2,11,stop,60,patrol
41,-3,11,left,59,patrol
42,-2,11,right,58,patrol
43,-2,10,down,57,patrol
44,-3,10,left,56,patrol
45,-3,11,up,55,patrol
46,-3,10,down,54,patrol
47,-4,10,left,53,patrol
48,-3,10,right,52,patrol
49,-2,10,right,51,patrol
50,-1,10,right,50,patrol
51,0,10,right,49,patrol
52,1,10,right,48,patrol
53,0,10,left,47,patrol
54,1,10,right,46,patrol
55,1,11,up,45,patrol
56,1,12,up,44,patrol
57,1,13,up,43,patrol
58,1,13,stop,42,patrol
59,1,14,up,41,patrol
60,1,15,up,40,patrol
61,1,16,up,39,patrol
62,1,17,up,38,patrol
63,0,17,left,37,patrol
64,1,17,right,36,patrol
65,0,17,left,35,patrol
66,-1,17,left,34,patrol
67,-1,18,up,33,patrol
68,-1,17,down,32,patrol
69,-1,18,up,31,patrol
70,0,18,right,30,patrol
71,0,19,up,29,patrol
72,1,19,right,28,patrol
73,1,20,up,27,patrol
74,1,21,up,26,patrol
75,1,20,down,25,patrol
76,1,21,up,24,patrol
77,1,22,up,23,patrol
78,1,21,down,22,patrol
79,1,22,up,21,patrol
80,0,22,left,20,low_battery_return
81,0,21,down,19,low_battery_return
82,0,20,down,18,low_battery_return
83,0,19,down,17,low_battery_return
84,0,18,down,16,low_battery_return
85,0,17,down,15,low_battery_return
86,0,16,down,14,low_battery_return
87,0,15,down,13,low_battery_return
88,0,14,down,12,low_battery_return
89,0,13,down,11,low_battery_return
90,0,12,down,10,low_battery_return
91,0,11,down,9,low_battery_return
92,0,10,down,8,low_battery_return
93,0,9,down,7,low_battery_return
94,0,8,down,6,low_battery_return
95,0,7,down,5,low_battery_return
96,0,6,down,4,low_battery_return
97,0,5,down,3,low_battery_return
98,0,4,down,2,low_battery_return
99,0,3,down,1,low_battery_return
100,0,2,down,0,rest
